id,date_begin,date_end,source_no,name_michno,name_friedman,state,ident_friedman,natives dead,natives dead (amended),natives wounded,natives wounded (amended),natives captured,natives captured (amended),us combatants dead,us combatants wounded,us combatants wounded (amended),us civilians dead,us civilians dead (amended),us civilians wounded,us civilians captured,source,nation 1,nation 2,nation 3,nation 4,pop_group,native casualties,us combatant casualties,us civilian casualties,total casualties,type engagement,x,y
1,1862/05/05,1862/05/05,8, Dragoon Springs,Dragoon Springs,Arizona,AZ-1862/05/05,,,,,,,4,,,,,,,Michno: Forgotten Fights,Chiricahua Apache,,,,3,0,4,0,4,0,-109.936472,32.23524633
134,1862/05/31,1862/05/31,32,Eel River,Eel River,California,CA-1862/05/31,1,1,,,12,12,,,,,,,,Michno: Encyclopedia,Eel River,,,,1,1,0,0,1,10,-123.5436835,40.20830947
135,1862/06/06,1862/06/06,33,Daley's Ferry,Daley's Ferry,California,CA-1862/06/06,,,,,,,,1,1,2,2,1,1,Michno: Encyclopedia,Unidentified,,,,3,0,1,3,4,0,-124.091616,40.9504716
137,1862/06/07,1862/06/07,34,Mattole Valley,Mattole Valley,California,CA-1862/06/07,6,6,6,6,,,,,,,,,,Michno: Encyclopedia,Unidentified,,,,3,12,0,0,12,10,-124.1855758,40.1803964
2,1862/06/18,1862/06/18,9, Jones’s Fight,Apache Pass,Arizona,AZ-1862/06/18,2,2,,,,,2,,,,,,,Michno: Forgotten Fights,Chiricahua Apache,,,,3,2,2,0,4,5,-109.3037617,32.25943347
136,1862/06/24,1862/06/24,35,Owens Lake,Owens Lake,California,CA-1862/06/24,2,2,,,11,11,,,,,,,,Michno: Encyclopedia,Ute,,,,3,2,0,0,2,10,-117.2264535,35.9149511
3,1862/06/25,1862/06/25,10, Apache Pass / Eyre’s Scout,Apache Pass,Arizona,AZ-1862/06/25,,,,,,,3,1,1,,,,,Michno: Forgotten Fights,Chiricahua Apache,,,,3,0,4,0,4,0,-109.4534905,32.06942962
4,1862/07/15,1862/07/15,12,Apache Pass,Apache War- Battle of Apache Pass,Arizona,AZ-1862/07/15,9,9,12,12,,,,2,2,,,,,Michno: Encyclopedia,Chiricahua Apache,,,,3,21,2,0,23,9,-109.6043793,32.07392173
138,1862/07/28,1862/07/28,36,Whitney's Ranch,Whitney's Ranch,California,CA-1862/07/28,,,,,,,1,,,2,2,,,Michno: Encyclopedia,Unidentified,,,,3,0,1,2,3,0,-123.8327661,40.92681326
192,1862/08/09,1862/08/10,9,Massacre Rocks,Massacre Rocks,Idaho,ID-1862/08/09,,,,,,,,,,10,10,9,,Michno: Encyclopedia,Shoshone,Bannock,,,3,0,0,19,19,0,-113.0402404,42.67392341
476,1862/08/14,1862/08/14,35,Grande Ronde Prairie,Grande Ronde Prairie,Oregon,OR-1862/08/14,4,4,,,,,,,,,,,,Michno: Encyclopedia,Cayuse,Rogue,,,2,4,0,0,4,10,-117.9283996,45.27642619
262,1862/08/18,1862/08/18,1,Redwood Agency,Sioux Rebellion- Episcopal Mission,Minnesota,MN-1862/08/18,,,,,,,,,,224,224,,,Michno: Encyclopedia,Santee Sioux,,,,4,0,0,224,224,0,-95.08042882,44.46323018
263,1862/08/18,1862/08/18,2,Lower Sioux Agency,Sioux Rebellion- Lower Agency,Minnesota,MN-1862/08/18b,10,10,,,,,34,,,1,1,,,Michno: Encyclopedia,Santee Sioux,,,,4,10,34,1,45,2,-94.93549388,44.59607603
264,1862/08/19,1862/08/23,3,New Ulm,Sioux Rebellion- Battle of New Ulm,Minnesota,MN-1862/08/19,100,100,,,,,,,,32,32,60,,Michno: Encyclopedia,Santee Sioux,,,,4,100,0,92,192,5,-94.56493424,44.30872411
265,1862/08/20,1862/08/22,4,Fort Ridgely,Sioux Rebellion- Ft. Ridgely,Minnesota,MN-1862/08/20,100,100,100,100,,,5,22,22,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,200,27,0,227,9,-94.71258807,44.63162068
338,1862/09/01,1862/09/01,2,Gravelly Ford Massacre,Beowawe,Nevada,NV-1862/09/01,24,24,,,,,,,,13,13,1,,Michno: Forgotten Fights,Paiute,,,,4,24,0,14,38,6,-116.0867343,40.68110196
266,1862/09/02,1862/09/03,5,Birch Coulee,Sioux Rebellion- Birch Coulee,Minnesota,MN-1862/09/02,2,2,4,4,,,24,67,67,,,,,Michno: Encyclopedia,Santee Sioux,,,,4,6,91,0,97,1,-95.0960045,44.70442391
