id,date_begin,date_end,source_no,name_michno,name_freeman,state,ident_freeman,source,xcoord,ycoord,nation 1,nation 2,nation 3,nation 4,pop_group,US casualties,Native casualties,total casualties,share of native casualties,type_engagement,x,y
"1",1862/05/05,1862/05/05,"8", Dragoon Springs,Dragoon Springs,Arizona,AZ-1862/05/05,Michno: Forgotten Fights,-1302096.651,1113644.412,Chiricahua Apache,,,,"3","4","0","4",0,"0",-109.9364720279,32.2352463338
"2",1862/06/18,1862/06/18,"9", Jones’s Fight,Apache Pass,Arizona,AZ-1862/06/18,Michno: Forgotten Fights,-1243001.743,1107840.448,Chiricahua Apache,,,,"3","2","0","2",0,"0",-109.3037617334,32.2594334735
"3",1862/06/25,1862/06/25,"10", Apache Pass / Eyre’s Scout,Apache Pass,Arizona,AZ-1862/06/25,Michno: Forgotten Fights,-1259886.002,1088845.656,Chiricahua Apache,,,,"3","1","0","1",0,"0",-109.4534905218,32.0694296209
"4",1862/07/15,1862/07/15,"12",Apache Pass,Apache War- Battle of Apache Pass,Arizona,AZ-1862/07/15,Michno: Encyclopedia,-1273848.836,1091352.626,Chiricahua Apache,,,,"3","2","30","32",93.75,"9",-109.6043793399,32.0739217332
"5",1863/04/25,1863/04/25,"14",Apache Pass,Apache War- Apache Pass,Arizona,AZ-1863/04/25,Michno: Encyclopedia,-1282290.966,1105598.72,Chiricahua Apache,,,,"3","0","3","3",100,"10",-109.7151040006,32.1895844904
"6",1863/03/27,1863/03/27,"13",Rio Bonito,Rio Bonito retaliation,Arizona,AZ-1863/03/27,Michno: Encyclopedia,-1263823.807,1188964.752,Gila Apache,,,,"3","0","28","28",100,"10",-109.6474618333,32.9531113937
"7",1863/05/07,1863/05/07,"15",Aravaipa Canyon,Apache War- Aravaipa Canyon,Arizona,AZ-1863/05/07,Michno: Encyclopedia,-1339275.342,1192130.55,Arivaipa,,,,"1","1","60","61",98.36065574,"10",-110.4552280800,32.8815600312
"8",1863/08/05,1863/08/19,"16",Pueblo Colorado Expedition,Pueblo Colorado Expedition,Arizona,AZ-1863/08/05,Michno: Encyclopedia,-1262240.908,1457002.372,Navajo,,,,"4","0","0","0",,"5",-110.0556837294,35.3278407560
"9",1863/11/15,1863/12/04,"17",Oraibi Expedition,Oraibi Expedition,Arizona,AZ-1863/11/15,Michno: Encyclopedia,-1319752.917,1494464.323,Navajo,,,,"4","0","2","2",100,"10",-110.7503654665,35.5811130652
"10",1863/12/11,1863/12/11,"18",Riconde Massacre,Riconde Massacres,Arizona,AZ-1863/12/11,Michno: Encyclopedia,-1233221.087,1477052.431,Navajo,,,,"4","0","15","15",100,"10",-109.7692019645,35.5428723350
