fid,date_begin,date_end,source_no,name,state,nation,army,white civilians,native dead,army dead,white civilian dead,source,xcoord,ycoord
1,1862/05/05,1862/05/05,8, Dragoon Springs,Arizona,,,,,,,Michno: Forgotten Fights,-1302096.651,1113644.412
2,1862/06/18,1862/06/18,9, Jones’s Fight,Arizona,,,,,,,Michno: Forgotten Fights,-1243001.743,1107840.448
3,1862/06/25,1862/06/25,10, Apache Pass / Eyre’s Scout,Arizona,,,,,,,Michno: Forgotten Fights,-1259886.002,1088845.656
4,1862/07/15,1862/07/15,12,Apache Pass,Arizona,,,,,,,Michno: Encyclopedia,-1273848.836,1091352.626
5,1863/04/25,1863/04/25,14,Apache Pass,Arizona,,,,,,,Michno: Encyclopedia,-1282290.966,1105598.72
6,1863/04/27,1863/04/27,13,Rio Bonito,Arizona,,,,,,,Michno: Encyclopedia,-1263823.807,1188964.752
7,1863/05/07,1863/05/07,15,Aravaipa Canyon,Arizona,,,,,,,Michno: Encyclopedia,-1339275.342,1192130.55
8,1863/08/05,1863/08/19,16,Pueblo Colorado Expedition,Arizona,,,,,,,Michno: Encyclopedia,-1262240.908,1457002.372
9,1863/11/15,1863/12/04,17,Oraibi Expedition,Arizona,,,,,,,Michno: Encyclopedia,-1319752.917,1494464.323
10,1863/12/11,1863/12/11,18,Riconde Massacre,Arizona,,,,,,,Michno: Encyclopedia,-1233221.087,1477052.431
11,1863/12/29,1863/12/29,11, Butterworth’s Fight,Arizona,,,,,,,Michno: Forgotten Fights,-1412899.605,1039248.144
12,1864/01/12,1864/01/14,19,Canyon de Chelly,Arizona,,,,,,,Michno: Encyclopedia,-1207367.064,1545117.102
13,1864/01/24,1864/01/24,20,Fish Creek Canyon,Arizona,,,,,,,Michno: Encyclopedia,-1404701.848,1271803.15
14,1864/04/07,1864/04/07,21,Sierra Bonita,Arizona,,,,,,,Michno: Encyclopedia,-1247994.814,1159417.298
15,1864/05/04,1864/05/04,22,Doubtful Canyon,Arizona,,,,,,,Michno: Encyclopedia,-1230582.921,1109292.152
16,1864/05/29,1864/05/29,23,Mescal Creek,Arizona,,,,,,,Michno: Encyclopedia,-1357742.501,1226954.336
17,1864/06/03,1864/06/03,12, Battle Flat,Arizona,,,,,,,Michno: Forgotten Fights,-1494814.645,1368623.113
18,1864/06/07,1864/06/08,24,San Carlos River,Arizona,,,,,,,Michno: Encyclopedia,-1344024.04,1243310.962
19,1864/07/09,1864/07/21,26,Little Colorado River Expedition,Arizona,,,,,,,Michno: Encyclopedia,-1261185.641,1399490.363
20,1864/07/15,1864/07/15,25,Little Colorado River,Arizona,,,,,,,Michno: Encyclopedia,-1239552.684,1382606.104
21,1864/07/28,1864/08/04,27,Pinal Mountains Expedition,Arizona,,,,,,,Michno: Encyclopedia,-1375154.394,1243310.962
22,1864/08/05,1864/08/05,28,Pinal Creek,Arizona,,,,,,,Michno: Encyclopedia,-1368822.796,1258084.689
23,1864/12/15,1864/12/15,29,HassayampaRiver,Arizona,,,,,,,Michno: Encyclopedia,-1525002.197,1359917.88
24,1865/01/01,1865/01/01,30,Sycamore Springs,Arizona,,,,,,,Michno: Encyclopedia,-1464324.389,1358334.98
25,1865/02/17,1865/02/17,13, Fort Buchanan,Arizona,,,,,,,Michno: Forgotten Fights,-1391794.28,1056660.036
26,1865/07/22,1865/07/22,14, Huachuca Mountains,Arizona,,,,,,,Michno: Forgotten Fights,-1369633.69,1041886.309
27,1865/11/05,1865/11/05,15, Mescal Canyon,Arizona,,,,,,,Michno: Forgotten Fights,-1263051.801,1062464.001
28,1866/01/21,1866/01/21,16, Cottonwood Springs,Arizona,,,,,,,Michno: Forgotten Fights,-1305790.083,1190678.847
29,1866/02/13,1866/02/13,31,Gallegos's Fight,Arizona,,,,,,,Michno: Encyclopedia,-1405757.114,1403711.428
30,1866/03/11,1866/03/11,17, Black Hills,Arizona,,,,,,,Michno: Forgotten Fights,-1452076.363,1386035.006
31,1866/03/22,1866/03/22,18, Cottonwood Springs,Arizona,,,,,,,Michno: Forgotten Fights,-1379658.719,1186985.415
32,1866/03/25,1866/03/25,19, Salt River,Arizona,,,,,,,Michno: Forgotten Fights,-1382824.517,1296733.102
