Office,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,year,,,,
"Chillicothe, OH",57,3638.46,,,,,,,,,,,,,,,,,1863,,,,
"Springfield, IL",3,118.16,,,,,,,,,,,,,,,,,1863,,,,
"Detroit, MI",60,7231.08,,,,,,,,,,,,,,,,,1863,,,,
"East Saginaw, MI",528,65824.55,,,,,,,,,,,,,,,,,1863,,,,
"Ionia, MI",544,66279.29,,,,,,,,,,,,,,,,,1863,,,,
"Marquette, MI",10,1317.4,,,,,,,,,,,,,,,,,1863,,,,
"Traverse City, MI",389,55376,,,,,,,,,,,,,,,,,1863,,,,
"Des Moines, IA",49,3670.51,,,,,,,,,,,,,,,,,1863,,,,
"Council Bluffs, IA",44,3286.83,,,,,,,,,,,,,,,,,1863,,,,
"Fort Dodge, IA",60,7993.58,,,,,,,,,,,,,,,,,1863,,,,
"Sioux City, IA",31,4613.26,,,,,,,,,,,,,,,,,1863,,,,
"Menasha, WI",130,12458.02,,,,,,,,,,,,,,,,,1863,,,,
"St. Croix Falls, WI",143,14779.54,,,,,,,,,,,,,,,,,1863,,,,
"Stevens Point, WI",121,10732.97,,,,,,,,,,,,,,,,,1863,,,,
"La Crosse, WI",1045,98087.2,,,,,,,,,,,,,,,,,1863,,,,
"Bayfield, WI",11,1313.18,,,,,,,,,,,,,,,,,1863,,,,
"Eau Claire, WI",226,27293.79,,,,,,,,,,,,,,,,,1863,,,,
"Taylors Falls, MN",66,9018.01,,,,,,,,,,,,,,,,,1863,,,,
"St. Cloud, MN",345,46093.15,,,,,,,,,,,,,,,,,1863,,,,
"Winnebago, MN",642,86882.58,,,,,,,,,,,,,,,,,1863,,,,
"Minneapolis, MN",400,39325.45,,,,,,,,,,,,,,,,,1863,,,,
"St. Peter, MN",490,52818.9,,,,,,,,,,,,,,,,,1863,,,,
"Henderson, MN",340,41308.88,,,,,,,,,,,,,,,,,1863,,,,
"Duluth, MN",13,1942.92,,,,,,,,,,,,,,,,,1863,,,,
"San Francisco, CA",84,13445.48,,,,,,,,,,,,,,,,,1863,,,,
"Marysville, CA",94,14858.38,,,,,,,,,,,,,,,,,1863,,,,
"Humboldt, CA",4,509.71,,,,,,,,,,,,,,,,,1863,,,,
"Stockton, CA",76,11908.98,,,,,,,,,,,,,,,,,1863,,,,
"Visalia, CA",85,12702.69,,,,,,,,,,,,,,,,,1863,,,,
"Oregon City, OR",95,13133.49,,,,,,,,,,,,,,,,,1863,,,,
"Roseburg, OR",105,15589.76,,,,,,,,,,,,,,,,,1863,,,,
"Olympia, WA",228,35134,,,,,,,,,,,,,,,,,1863,,,,
"Vancouver, WA",113,17782.25,,,,,,,,,,,,,,,,,1863,,,,
"Topeka, KS",409,60422.36,,,,,,,,,,,,,,,,,1863,,,,
"Atchison, KS",57,6831.7,,,,,,,,,,,,,,,,,1863,,,,
