state,map_n,startYear,endYear
AL,1,1842,1868
AL,2,1868,1919
AK,1,1884,1900
AK,2,1900,1907
AK,3,1907,1923
AK,4,1923,1923
AZ,1,1863,1905
AZ,2,1905,1919
AR,1,,
AR,2,,
AR,3,,
AR,4,1845,1865
AR,5,1865,1871
AR,6,1871,1909
AR,7,1909,1923
CA,1,1857,1863
CA,2,1863,1869
CA,3,1869,1873
CA,4,1873,1878
CA,5,1878,1919
CA,6,1919,
CO,1,1863,1871
CO,2,1871,1874
CO,3,1874,1877
CO,4,1877,1882
CO,5,1882,1883
CO,6,1883,1884
CO,7,1884,1888
CO,8,1888,1900
CO,9,1900,1919
ID,1,1868,1879
ID,2,1879,1883
ID,3,1883,1887
IA,1,1859,1910
ID,4,1887,1919
KS,1,1854,1861
KS,2,1861,1870
KS,3,1870,1872
KS,4,1872,1875
KS,5,1875,1880
KS,6,1880,1889
KS,7,1889,1893
KS,8,1893,1900
KS,9,1900,1905
KS,10,1905,1919
LA,1,1867,1916
MI,1,1858,1878
MI,2,1878,1888
MI,3,1888,1919
MN,1,1863,1868
MN,2,1868,1872
MN,3,1872,1873
MN,4,1873,1889
MN,5,1889,1900
MN,6,1900,1919
MT,1,1867,1874
MT,2,1874,1891
MT,3,1891,1898
MT,4,1898,1906
MT,5,1906,1916
NE,1,1854,1869
NE,2,1869,1872
NE,3,1873,1875
NE,4,1875,1881
NE,5,1881,1883
NE,6,1883,1886
NE,7,1886,1887
NE,8,1887,1893
NE,9,1893,1900
NE,10,1900,1919
NV,1,1864,1868
NV,2,1868,1873
NV,3,1873,1900
NV,4,1900,1919
ND,1,1861,1870
ND,2,1870,1878
ND,3,1878,1882
ND,4,1882,1891
ND,5,1891,1905
ND,6,1905,1908
ND,7,1908,1913
ND,8,1913,1920
OK,1,1889,1890
OK,2,1890,1891
OK,3,1891,1900
OK,4,1900,1901
OK,5,1901,1906
OK,6,1906,1919
OR,1,1860,1872
OR,2,1972,1888
OR,3,1888,1900
OR,4,1900,1919
SD,1,1861,1871
SD,2,1871,1877
SD,3,1877,1880
SD,4,1880,1883
SD,5,1883,1890
SD,6,1890,1908
SD,7,1908,1918
WA,1,1854,1871
WA,2,1871,1876
WA,3,1876,1884
WA,4,1884,1890
WA,5,1890,1914
WA,6,1914,1919
WI,1,1860,1886
WI,2,1886,1919
WY,1,1870,1887
WY,2,1887,1890
WY,3,1890,1904
WY,4,1904,1916
