the_geom,cartodb_id,sh_id,sliver_array
,1,29,"{12,16,21}"
,2,54,"{4,13,18,51,107,114,121,223,231}"
,3,4,"{1,9,14}"
,4,34,"{22,26,30}"
,5,51,"{39,45,92}"
,6,52,"{93,208,216,259}"
,7,10,{10}
,8,35,"{27,31}"
,9,45,"{38,44,79,91,192}"
,10,6,"{5,19,24,29}"
,11,39,"{8,23,28,33,36,58,62,81,88,145,153,161,165,199,203,218,250,255}"
,12,36,{32}
,13,31,"{76,128,136,182,189,241,268,279,289,297,310,321,332,344}"
,14,50,"{64,71,207,215}"
,15,14,"{46,101,108,115,237,264,275,285,306,317,328,340}"
,16,22,{20}
,17,13,"{327,339}"
,18,2,"{130,234,261,271,281,291,302,313,336}"
,19,16,"{61,68,126,134,180}"
,20,44,"{90,201,205,213,257}"
,21,11,"{54,140,148,156}"
,22,42,"{49,82,96,105,111,118,220,228}"
,23,41,"{48,104,110,117,219,227}"
,24,46,"{206,214,258}"
,25,40,"{2,17,42,47,69,77,95,103,109,116,173,183,190,211,226}"
,26,43,"{37,43,63,70,78,89,184,191,200,204,212,256}"
,27,32,"{333,345}"
,28,53,"{209,217,260}"
,29,7,"{236,263,293}"
,30,9,"{124,132,283,315,326,338}"
,31,38,"{270,299,311,322,335,347}"
,32,15,"{55,141,149,157,195,246}"
,33,26,{57}
,34,12,"{35,41,60,67,74,125,133,164,172,179,187,245,274,284,305,316}"
,35,48,"{3,50,106,113}"
,36,57,"{86,100,225,233,301}"
,37,24,"{6,143,159}"
,38,19,"{56,158}"
,39,25,"{151,197,248,253}"
,40,30,"{7,144,152,160,198,249,254}"
,41,21,"{239,266,277,287,295,308,319,330,342}"
,42,49,"{84,98,120,167,175,222,230}"
,43,47,"{83,97,112,119,166,174,221,229}"
,44,3,"{235,262,292}"
,45,17,"{102,238,265,276,286,294,307,318,329,341}"
,46,37,"{242,269,298}"
,47,28,"{127,135,267,296,309,320,331,343}"
,48,20,"{11,15}"
,49,33,"{334,346}"
,50,1,"{122,324}"
,51,5,"{34,40,52,59,66,73,80,87,94,123,131,138,146,154,162,170,178,186,194,202,210,243,252,272,282,303,314,325,337}"
,52,18,"{142,150,196,247}"
,53,55,"{65,72,129,137,168,176,185,193,251,280,290,312,323}"
,54,27,"{75,181,188,240,278,288}"
,55,23,{25}
,56,56,"{85,99,169,177,224,232,300}"
,57,8,"{53,139,147,155,163,171,244,273,304}"
