sh_id,sliver_array
29,"{12,16,21}"
54,"{4,13,18,51,100,107,114,200,208}"
4,"{1,9,14}"
34,"{22,26,30}"
51,"{39,45,85}"
52,"{86,193,236,373,374,375,376,377}"
10,{10}
35,"{27,31}"
45,"{38,44,72,84,177}"
6,"{5,19,24,29}"
39,"{8,23,28,33,36,58,62,74,81,130,138,146,150,184,188,195,227,232}"
36,{32}
31,"{69,121,167,174,218,245,256,266,274,287,298,309,339,340,407,408,409}"
50,"{64,192,323,324,368,369,370,371,372}"
14,"{46,94,101,108,214,241,252,262,283,294,305,395,396,397}"
22,{20}
13,"{304,392,393,394}"
2,"{115,211,238,248,258,268,279,290,301}"
16,"{61,119,165,317,318,335,336}"
44,"{83,186,190,234,358,359,360,361,362}"
11,"{54,125,133,141}"
42,"{49,75,89,98,104,111,197,205}"
41,"{48,97,103,110,196,204}"
46,"{191,235,363,364,365,366,367}"
40,"{2,17,42,47,70,88,96,102,109,158,168,175,203,319,320,348,349,350,351,352}"
43,"{37,43,63,71,82,169,176,185,189,233,321,322,353,354,355,356,357}"
32,"{310,410,411,412}"
53,"{194,237,378,379,380,381,382}"
7,"{213,240,270}"
9,"{117,260,292,303,331,332,389,390,391}"
38,"{247,276,288,299,312,416,417,418}"
15,"{55,126,134,142,180,223}"
26,{57}
12,"{35,41,60,67,118,149,157,164,172,222,251,261,282,293,315,316,333,334}"
48,"{3,50,99,106}"
57,"{79,93,202,210,278}"
24,"{6,128,144}"
19,"{56,143}"
25,"{136,182,225,230}"
30,"{7,129,137,145,183,226,231}"
21,"{216,243,254,264,272,285,296,307,401,402,403}"
49,"{77,91,113,152,160,199,207}"
47,"{76,90,105,112,151,159,198,206}"
3,"{212,239,269}"
17,"{95,215,242,253,263,271,284,295,306,398,399,400}"
37,"{219,246,275}"
28,"{120,244,273,286,297,308,337,338,404,405,406}"
20,"{11,15}"
33,"{311,413,414,415}"
1,"{327,328,383,384,385}"
5,"{34,40,52,59,66,73,80,87,116,123,131,139,147,155,163,171,179,187,220,229,249,259,280,291,302,313,314,329,330,343,344,345,346,347,386,387,388}"
18,"{127,135,181,224}"
55,"{65,122,153,161,170,178,228,257,267,289,300,325,326,341,342}"
27,"{68,166,173,217,255,265}"
23,{25}
56,"{78,92,154,162,201,209,277}"
8,"{53,124,132,140,148,156,221,250,281}"
